No;Title;ISSN;Branches;Date;
;;;"2.1.5. Строительные материалы и изделия (технические науки),
2.1.12. Архитектура зданий и сооружений. Творческие концепции архитектурной деятельности (технические науки),
2.1.12. Архитектура зданий и сооружений. Творческие концепции архитектурной деятельности (архитектура),
2.1.14. Управление жизненным циклом объектов строительства (технические науки),
2.1.14. Управление жизненным циклом объектов строительства (физико- математические науки),
2.5.9. Методы и приборы контроля и диагностики материалов, изделий, веществ и природной среды (технические науки),
5.2.2. Математические, статистические и
инструментальные методы экономики (экономические науки),";с 26.01.2023;
;;;5.2.6. Менеджмент (экономические науки);;
25.;"Consilium Medicum (""Врачебный консилиум"")";2075-1753;14.01.28 – Гастроэнторология (медицинские науки),;"с 28.12.2018
по 16.10.2022";
;;;"3.1.3. Оториноларингология (медицинские науки),
3.1.9. Хирургия (медицинские науки),
3.1.13. Урология и андрология (медицинские науки), Внутренние болезни (медицинские науки), Эндокринология (медицинские науки),
Кардиология (медицинские науки),
3.1.24. Неврология (медицинские науки),
Фтизиатрия (медицинские науки),
Ревматология (медицинские науки),
3.1.29. Пульмонология (медицинские науки),
3.1.31. Геронтология и гериатрия (медицинские науки)
3.1.4. Акушерство и гинекология (медицинские науки)
3.1.23. Дерматовенерология (медицинские науки)";с 01.02.2022;
;;;"3.1.1. Рентгенэндоваскулярная хирургия (медицинские науки),
3.1.6. Онкология, лучевая терапия (медицинские науки),
3.1.25. Лучевая диагностика (медицинские науки),
3.1.30. Гастроэнтерология и диетология (медицинские науки),
3.1.32. Нефрология (медицинские науки)";с 25.05.2022;
;;;3.2.7. Аллергология и иммунология (медицинские науки);с 13.10.2022;
;;;3.1.21. Педиатрия (медицинские науки);с 26.01.2023;
26.;"Construction and Geotechnics
(перевод наименования на государственный язык Российской
Федерации:
Строительство и геотехника)
(до 22.12.2020 наименование в Перечне «Вестник Пермского национального исследовательского";2687-0894;"Основания и фундаменты, подземные сооружения (технические науки),
Теплоснабжение, вентиляция, кондиционирование воздуха, газоснабжение и освещение (технические науки), Водоснабжение, канализация,
строительные системы охраны водных ресурсов (технические науки),
Строительные материалы и
изделия (технические науки),";с 01.02.2022;
;политехнического университета. Строительство и архитектура» ISSN 2224-9826);;"Технология и организация строительства (технические науки), Проектирование и строительство дорог, метрополитенов, аэродромов, мостов и транспортных тоннелей (технические науки),
Строительная механика (технические науки),
Экологическая безопасность строительства и городского хозяйства (технические науки)";;
27.;CONTINUUM. Математика. Информатика. Образование;2500-1957;"5.8.2. Теория и методика обучения
и воспитания (по областям и уровням образования) (педагогические науки),
5.8.7. Методология и технология профессионального образования (педагогические науки)";с 22.10.2021;
28.;"Dental Forum
(перевод названия на государственный язык Российской Федерации: Форум стоматологии)";2077-6632;3.1.7. Стоматология (медицинские науки);с 01.02.2022;
29.;"Diagnostics, Resource and Mechanics of materials and structures
(перевод названия на государственный язык Российской Федерации: Диагностика, ресурс и механика материалов и конструкций)";2410-9908;"Механика деформируемого твердого тела (технические науки) Механика жидкости, газа и плазмы (технические науки) Машиноведение (технические науки),
Трение и износ в машинах (технические науки) Технология машиностроения (технические науки)
Технологии и машины обработки давлением (технические науки) Сварка, родственные процессы и технологии (технические науки) Методы и приборы контроля и диагностики материалов, изделий, веществ и природной среды (технические науки),
2.6.1. Металловедение и термическая обработка металлов и сплавов (технические науки)
Обработка металлов давлением (технические науки) Порошковая металлургия и композиционные материалы (технические науки)
2.6.17. Материаловедение (технические науки)";с 20.04.2023;
30.;Digital Diagnostics;2712-8490;"1.2.1. Искусственный интеллект и машинное обучение (физико- математические науки),
3.1.6. Онкология, лучевая терапия (медицинские науки),";с 11.04.2023;
;;;"3.1.20. Кардиология (медицинские науки),
3.1.25. Лучевая диагностика (медицинские науки)";;
31.;"Discrete and Continuous Models and Applied Computational Science
(до 31.01.2020 наименование в Перечне «Вестник Российского университета дружбы народов. Серия ""Математика.
Информатика. Физика""» ISSN 2312-9743)";2658-4670;05.13.17 – Теоретические основы информатики (физико-математические науки);"с 28.12.2018
по 16.10.2022";
;;;"1.2.2. Математическое моделирование, численные методы и комплексы программ (физико-математические науки)
1.3.3. Теоретическая физика (физико- математические науки),";с 01.02.2022;
32.;E-Management;2658-3445;5.2.3. Региональная и отраслевая экономика (экономические науки), Мировая экономика (экономические науки), Менеджмент (экономические науки);с 23.11.2021;
33.;"EDUCATIONAL BULLETIN
«CONSCIOUSNESS» /
«ОБРАЗОВАТЕЛЬНЫЙ ВЕСТНИК «СОЗНАНИЕ»
(до 15.10.2019 г. наименование в Перечне «Электронный научно-образовательный Вестник ""Здоровье и образование в XXI веке"" ISSN 2226-7417)";2686-6846;"13.00.05 – Теория, методика и организация социально-культурной деятельности (педагогические науки),
19.00.13 – Психология развития, акмеология (психологические науки)";"с 28.12.2018
по 16.10.2022";
;;;"5.3.1. Общая психология, психология личности, история психологии (психологические науки), Психология      труда,      инженерная психология, когнитивная эргономика (психологические науки), Педагогическая психология, психодиагностика цифровых
образовательных сред (психологические науки)
Общая педагогика, история педагогики и образования (педагогические науки),
Теория и методика обучения и воспитания (по областям и уровням образования) (педагогические науки),
5.8.7. Методология и технология профессионального образования (педагогические науки)";с 01.02.2022;
;;;"5.3.5. Социальная психология, политическая и экономическая психология (психологические науки),
5.3.7. Возрастная психология (психологические науки),
5.8.5. Теория и методика спорта (педагогические науки),
5.10.1. Теория и история культуры, искусства (философские науки)";с 23.09.2022;
34.;Epistemology & Philosophy of Sciences /Эпистемология и философия науки;"1811-833Х
2311-7133";"5.7.1. Онтология и теория познания (философские науки),
5.7.6. Философия науки и техники (философские науки),
5.7.8. Философская антропология, философия культуры (философские науки)";с 01.02.2022;
35.;"European Social Science Journal (""Европейский журнал социальных наук"")";2079-5513;"08.00.05 – Экономика и управление народным хозяйством (по отраслям и сферам деятельности) (экономические науки),
– Бухгалтерский учет, статистика (экономические науки),
– Математические и инструментальные методы экономики (экономические науки),
– Теория и методика физического воспитания, спортивнойтренировки, оздоровительной и адаптивной физической культуры (педагогические науки),
– Теория, методика и организация социально-культурной деятельности (педагогические науки),
– Медицинская психология (психологические науки),
– Социальная психология (психологические науки),
– Политическая психология (психологические науки),
– Психология развития, акмеология (психологические науки)";"с 28.12.2018
по 16.10.2022";
;;;"5.2.1. Экономическая теория (экономические науки),  Финансы (экономические науки), Мировая экономика (экономические науки),
Общая психология, психология личности, история психологии (психологические науки), Психофизиология (психологические науки),
Психология      труда,      инженерная психология, когнитивная эргономика (психологические науки), Педагогическая психология, психодиагностика цифровых образовательных сред (психологические науки),
Коррекционная психология и дефектология (психологические науки) Юридическая психология и психология безопасности (психологические науки),
5.8.1. Общая педагогика, история педагогики и образования (педагогические науки),";"с 01.02.2022
по 22.03.2023";
;;;"Теория и методика обучения и воспитания (по областям и уровням образования) (педагогические науки), Коррекционная педагогика (сурдопедагогика и тифлопедагогика, олигофренопедагогика и логопедия) (педагогические науки),
5.8.7. Методология и технология профессионального образования (педагогические науки)";;
